id,symbol,direction,entry_time,entry_price,exit_time,exit_price,sl_price,tp_price,size,pnl_pips,exit_reason,entry_signal_data,created_at,entry_model,signal_timeframe
271,USDCAD,long,2026-02-18 20:00:38.747907,1.36969000,2026-02-19 00:05:01.138968,1.36972000,1.36669000,1.37269000,0.2200,0.30,model_exit,,2026-02-19 00:05:01.268929,Hybrid_V4 + SMA20_50_MACD_long,
272,USDCAD,long,2026-02-18 20:01:39.443642,1.36972000,2026-02-19 00:05:01.138968,1.36972000,1.36672000,1.37272000,0.2100,0.00,model_exit,,2026-02-19 00:05:01.399128,Hybrid_V4 + SMA20_50_BB_long,
273,EURCAD,long,2026-02-18 18:00:49.735494,1.61501000,2026-02-19 00:05:01.55538,1.61445000,1.61201000,1.61801000,0.1900,-5.60,model_exit,,2026-02-19 00:05:01.684752,Hybrid_V4 + SMA20_50_Stoch_long,
274,GBPUSD,long,2026-02-18 22:05:44.523491,1.34923000,2026-02-19 01:05:32.91087,1.34956000,1.34623000,1.35223000,0.4300,3.30,model_exit,,2026-02-19 01:05:32.995566,Hybrid_V4 + Stoch_RSI_long_20_30,
275,GBPUSD,long,2026-02-18 22:06:45.113937,1.34933000,2026-02-19 01:05:32.91087,1.34956000,1.34633000,1.35233000,0.2300,2.30,model_exit,,2026-02-19 01:05:33.077832,Hybrid_V4 + Stoch_RSI_long_15_30,
276,EURCAD,long,2026-02-19 01:00:30.55926,1.61493000,2026-02-19 01:35:49.645545,1.61465000,1.61193000,1.61793000,0.1800,-2.80,model_exit,,2026-02-19 01:35:49.750531,Hybrid_V4 + MACD_cross_long,
277,GBPUSD,long,2026-02-19 00:06:02.597696,1.34940000,2026-02-19 02:09:13.025829,1.34949000,1.34640000,1.35240000,0.2000,0.90,model_exit,,2026-02-19 02:09:13.319793,Hybrid_V4 + RSI_oversold_long,
278,USDCAD,short,2026-02-19 01:05:33.427836,1.36953000,2026-02-19 02:09:13.417914,1.36914000,1.37253000,1.36653000,0.1700,3.90,model_exit,,2026-02-19 02:09:13.522795,Hybrid_V4 + MACD_Stoch_short,
279,GBPUSD,long,2026-02-19 01:05:33.406835,1.34956000,2026-02-19 03:35:56.719871,1.34909000,1.34656000,1.35256000,0.2300,-4.70,model_exit,,2026-02-19 03:35:56.931126,Hybrid_V4 + Stoch_RSI_long_15_30,
280,USDCAD,long,2026-02-19 00:06:02.602298,1.36978000,2026-02-19 04:35:27.951581,1.37008000,1.36678000,1.37278000,0.2800,3.00,model_exit,,2026-02-19 04:35:28.058934,Hybrid_V4 + SMA20_50_MACD_long,
281,EURCAD,long,2026-02-19 00:00:59.074123,1.61441000,2026-02-19 04:35:28.179559,1.61499000,1.61141000,1.61741000,0.1600,5.80,model_exit,,2026-02-19 04:35:28.294794,Hybrid_V4 + SMA20_50_RSI_long,
282,GBPUSD,long,2026-02-19 04:00:10.203387,1.34910000,2026-02-19 06:35:25.668204,1.34959000,1.34610000,1.35210000,0.4200,4.90,model_exit,,2026-02-19 06:35:25.789343,Hybrid_V4 + Stoch_RSI_long_20_30,
283,GBPUSD,long,2026-02-19 04:01:10.92295,1.34917000,2026-02-19 06:35:25.668204,1.34959000,1.34617000,1.35217000,0.3000,4.20,model_exit,,2026-02-19 06:35:25.892777,Hybrid_V4 + RSI_oversold_long,
284,USDCAD,short,2026-02-19 05:00:40.197096,1.37030000,2026-02-19 07:05:40.188765,1.36867000,1.37330000,1.36730000,0.2200,16.30,model_exit,,2026-02-19 07:05:40.285538,Hybrid_V4 + MACD_Stoch_short,
285,GBPUSD,long,2026-02-19 02:30:24.794807,1.34929000,2026-02-19 07:35:53.070528,1.35021000,1.34629000,1.35229000,0.3000,9.20,model_exit,,2026-02-19 07:35:53.205252,Hybrid_V4 + MACD_Stoch_long,
286,EURCAD,short,2026-02-19 04:00:10.232829,1.61483000,2026-02-19 08:05:06.336038,1.61466000,1.61783000,1.61183000,0.1200,1.70,model_exit,,2026-02-19 08:05:06.488961,Hybrid_V4 + SMA20_50_BB_short,
287,EURCAD,long,2026-02-19 00:01:59.694205,1.61445000,2026-02-19 09:05:39.559261,1.61417000,1.61145000,1.61745000,0.1600,-2.80,model_exit,,2026-02-19 09:05:39.685598,Hybrid_V4 + SMA20_50_MACD_long,
