rate_time,open,high,low,close,volume,readable_date
1769025600,1.16970000,1.17054000,1.16772000,1.16915000,9933.00000000,2026-01-21 20:00:00
1769029200,1.16916000,1.16921000,1.16762000,1.16869000,6083.00000000,2026-01-21 21:00:00
1769032800,1.16869000,1.16896000,1.16841000,1.16875000,1884.00000000,2026-01-21 22:00:00
1769036400,1.16876000,1.16878000,1.16842000,1.16852000,1020.00000000,2026-01-21 23:00:00
1769040000,1.16853000,1.16856000,1.16701000,1.16731000,1791.00000000,2026-01-22 00:00:00
1769043600,1.16731000,1.16899000,1.16730000,1.16874000,4133.00000000,2026-01-22 01:00:00
1769047200,1.16874000,1.16903000,1.16814000,1.16888000,4241.00000000,2026-01-22 02:00:00
1769050800,1.16889000,1.16937000,1.16834000,1.16857000,3097.00000000,2026-01-22 03:00:00
1769054400,1.16857000,1.16905000,1.16850000,1.16890000,2147.00000000,2026-01-22 04:00:00
1769058000,1.16890000,1.16973000,1.16890000,1.16916000,2198.00000000,2026-01-22 05:00:00
1769061600,1.16916000,1.16920000,1.16843000,1.16884000,2627.00000000,2026-01-22 06:00:00
1769065200,1.16884000,1.16919000,1.16844000,1.16886000,3134.00000000,2026-01-22 07:00:00
1769068800,1.16885000,1.16962000,1.16848000,1.16907000,4931.00000000,2026-01-22 08:00:00
1770314400,1.18014000,1.18043000,1.17961000,1.18009000,7124.00000000,2026-02-05 18:00:00
1673924400,1.08162000,1.08320000,1.08054000,1.08133000,3624.00000000,2023-01-17 03:00:00
1675760400,1.07232000,1.07251000,1.06960000,1.07179000,7311.00000000,2023-02-07 09:00:00
1768186800,1.16561000,1.16644000,1.16540000,1.16548000,3472.00000000,2026-01-12 03:00:00
1768190400,1.16547000,1.16592000,1.16547000,1.16553000,2472.00000000,2026-01-12 04:00:00
1761847200,1.15693000,1.15700000,1.15604000,1.15664000,5064.00000000,2025-10-30 18:00:00
1761850800,1.15664000,1.15705000,1.15644000,1.15680000,5049.00000000,2025-10-30 19:00:00
1761854400,1.15679000,1.15716000,1.15618000,1.15643000,3937.00000000,2025-10-30 20:00:00
1761858000,1.15643000,1.15724000,1.15636000,1.15652000,2253.00000000,2025-10-30 21:00:00
1761861600,1.15672000,1.15705000,1.15648000,1.15691000,936.00000000,2025-10-30 22:00:00
1761865200,1.15690000,1.15699000,1.15662000,1.15680000,997.00000000,2025-10-30 23:00:00
1761296400,1.16138000,1.16281000,1.16019000,1.16183000,8871.00000000,2025-10-24 09:00:00
1761300000,1.16184000,1.16237000,1.16063000,1.16104000,7842.00000000,2025-10-24 10:00:00
1761800400,1.16155000,1.16375000,1.16136000,1.16321000,8351.00000000,2025-10-30 05:00:00
1761804000,1.16320000,1.16342000,1.16236000,1.16242000,4571.00000000,2025-10-30 06:00:00
1761807600,1.16241000,1.16298000,1.16183000,1.16197000,6344.00000000,2025-10-30 07:00:00
1761811200,1.16196000,1.16228000,1.16096000,1.16187000,8035.00000000,2025-10-30 08:00:00
1761814800,1.16186000,1.16204000,1.16065000,1.16173000,8321.00000000,2025-10-30 09:00:00
1761818400,1.16173000,1.16285000,1.16144000,1.16168000,7568.00000000,2025-10-30 10:00:00
1761822000,1.16167000,1.16200000,1.16060000,1.16068000,6441.00000000,2025-10-30 11:00:00
1761825600,1.16068000,1.16113000,1.15962000,1.15979000,7181.00000000,2025-10-30 12:00:00
1761829200,1.15979000,1.15992000,1.15533000,1.15551000,10051.00000000,2025-10-30 13:00:00
1764950400,1.16501000,1.16590000,1.16438000,1.16482000,10437.00000000,2025-12-05 16:00:00
1764954000,1.16482000,1.16492000,1.16281000,1.16343000,9058.00000000,2025-12-05 17:00:00
1764957600,1.16340000,1.16444000,1.16325000,1.16444000,5831.00000000,2025-12-05 18:00:00
1764961200,1.16443000,1.16487000,1.16420000,1.16430000,4391.00000000,2025-12-05 19:00:00
1764964800,1.16429000,1.16443000,1.16399000,1.16431000,3263.00000000,2025-12-05 20:00:00
1764968400,1.16431000,1.16447000,1.16399000,1.16443000,2667.00000000,2025-12-05 21:00:00
1764972000,1.16442000,1.16472000,1.16402000,1.16438000,1604.00000000,2025-12-05 22:00:00
1765148400,1.16401000,1.16463000,1.16396000,1.16457000,697.00000000,2025-12-07 23:00:00
1765152000,1.16467000,1.16467000,1.16394000,1.16406000,2554.00000000,2025-12-08 00:00:00
1765155600,1.16408000,1.16516000,1.16396000,1.16513000,4027.00000000,2025-12-08 01:00:00
1765159200,1.16513000,1.16533000,1.16456000,1.16518000,5001.00000000,2025-12-08 02:00:00
1765162800,1.16519000,1.16544000,1.16488000,1.16538000,3980.00000000,2025-12-08 03:00:00
1765166400,1.16539000,1.16555000,1.16500000,1.16501000,2824.00000000,2025-12-08 04:00:00
1765170000,1.16501000,1.16556000,1.16497000,1.16546000,2402.00000000,2025-12-08 05:00:00
1765173600,1.16545000,1.16564000,1.16526000,1.16562000,2921.00000000,2025-12-08 06:00:00
1765177200,1.16562000,1.16720000,1.16562000,1.16609000,5350.00000000,2025-12-08 07:00:00
1765180800,1.16609000,1.16680000,1.16550000,1.16581000,5440.00000000,2025-12-08 08:00:00
1765184400,1.16583000,1.16625000,1.16482000,1.16561000,6507.00000000,2025-12-08 09:00:00
1765188000,1.16561000,1.16577000,1.16480000,1.16488000,5955.00000000,2025-12-08 10:00:00
1765191600,1.16488000,1.16558000,1.16478000,1.16509000,5133.00000000,2025-12-08 11:00:00
1765195200,1.16509000,1.16537000,1.16468000,1.16504000,5467.00000000,2025-12-08 12:00:00
1765198800,1.16503000,1.16540000,1.16476000,1.16533000,5514.00000000,2025-12-08 13:00:00
1765202400,1.16533000,1.16575000,1.16457000,1.16484000,7108.00000000,2025-12-08 14:00:00
1765206000,1.16484000,1.16549000,1.16379000,1.16402000,9260.00000000,2025-12-08 15:00:00
1765324800,1.16261000,1.16288000,1.16247000,1.16279000,1081.00000000,2025-12-10 00:00:00
1765328400,1.16279000,1.16289000,1.16245000,1.16262000,3060.00000000,2025-12-10 01:00:00
1765332000,1.16262000,1.16289000,1.16224000,1.16239000,2937.00000000,2025-12-10 02:00:00
1765335600,1.16238000,1.16285000,1.16233000,1.16239000,2809.00000000,2025-12-10 03:00:00
1765339200,1.16238000,1.16274000,1.16217000,1.16266000,2420.00000000,2025-12-10 04:00:00
