id,symbol,timeframe,timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi_14,stoch_k,stoch_d,atr_14,bb_upper_20,bb_middle_20,bb_lower_20,macd_line,macd_signal,macd_histogram,created_at,updated_at,ob_bullish_high,ob_bullish_low,ob_bearish_high,ob_bearish_low
536550,GBPUSD,H1,2010-05-11 17:00:00+00,1.49537000,1.50033000,1.49509000,1.49886000,4581.00000000,1.48379300,1.48585900,1.50721035,1.48437676,1.48459205,1.48597637,66.12882132,94.81664316,93.31532561,0.00627337,1.49444706,1.48379300,1.47313894,-0.00021528,-0.00141922,0.00120394,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536551,GBPUSD,H1,2010-05-11 18:00:00+00,1.49898000,1.49993000,1.49697000,1.49725000,3260.00000000,1.48437950,1.48644440,1.50708745,1.48660495,1.48564893,1.48648161,63.62781081,89.13963329,93.16909895,0.00619955,1.49653494,1.48437950,1.47222406,0.00095602,-0.00094417,0.00190019,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536552,GBPUSD,H1,2010-05-11 19:00:00+00,1.49726000,1.49946000,1.49419000,1.49561000,3526.00000000,1.48486950,1.48688720,1.50695390,1.48824265,1.48650827,1.48690390,61.09314967,83.35684062,89.10437236,0.00596816,1.49796950,1.48486950,1.47176950,0.00173438,-0.00040846,0.00214284,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536553,GBPUSD,H1,2010-05-11 20:00:00+00,1.49556000,1.49690000,1.49161000,1.49484000,3177.00000000,1.48544050,1.48723820,1.50680175,1.48937609,1.48718247,1.48724532,59.88690242,80.64174894,84.37940762,0.00591829,1.49921612,1.48544050,1.47166488,0.00219362,0.00011196,0.00208166,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536554,GBPUSD,H1,2010-05-11 21:00:00+00,1.49480000,1.49718000,1.49399000,1.49536000,2458.00000000,1.48605500,1.48756840,1.50666225,1.49021669,1.48774970,1.48754315,60.45475473,82.47531735,82.15796897,0.00587341,1.50043599,1.48605500,1.47167401,0.00246700,0.00058297,0.00188403,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536555,GBPUSD,H1,2010-05-11 22:00:00+00,1.49535000,1.49708000,1.49224000,1.49266000,2170.00000000,1.48642100,1.48780920,1.50649600,1.49100797,1.48831342,1.48784969,56.02030470,72.95486601,78.69064410,0.00568174,1.50108046,1.48642100,1.47176154,0.00269455,0.00100529,0.00168926,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536556,GBPUSD,H1,2010-05-11 23:00:00+00,1.49265000,1.49327000,1.49144000,1.49232000,1833.00000000,1.48693000,1.48801780,1.50632840,1.49126213,1.48863539,1.48803833,55.46853753,71.75599436,75.72872591,0.00562162,1.50166627,1.48693000,1.47219373,0.00262674,0.00132958,0.00129716,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536557,GBPUSD,H1,2010-05-12 00:00:00+00,1.49234000,1.49527000,1.49195000,1.49527000,1414.00000000,1.48763450,1.48831800,1.50618760,1.49142488,1.48890833,1.48820624,59.22146198,82.15796897,75.62294311,0.00535079,1.50254997,1.48763450,1.47271903,0.00251655,0.00156697,0.00094958,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
741607,GBPUSD,H6,2015-03-24 18:00:00+00,1.48735000,1.48817000,1.48341000,1.48436000,15245.00000000,1.48660500,1.48946780,1.51630160,1.49015515,1.48876709,1.49382866,46.15330813,51.93075899,64.08122503,0.00879011,1.50556749,1.48660500,1.46764251,0.00138806,0.00026960,0.00111846,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741608,GBPUSD,H6,2015-03-25 00:00:00+00,1.48437000,1.48766000,1.48303000,1.48566000,11660.00000000,1.48750700,1.48904540,1.51616530,1.48926359,1.48844064,1.49345734,47.41328053,50.69418386,54.83636577,0.00850225,1.50437158,1.48750700,1.47064242,0.00082295,0.00038027,0.00044268,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
